"WID","login_count","level","playcount_sum","playtime_sum","recent_date","mode"
W14966,1476,50,293,153400,2023-06-16,1
W14987,1631,60,93,74035,2023-04-19,4
W14987,1631,60,1590,1209670,2023-06-30,3
W14987,1631,60,1544,539044,2023-06-30,5
W14987,1631,60,480,247749,2023-06-29,1
W15032,2233,54,106,71877,2023-06-15,4
W15032,2233,54,982,286489,2023-06-14,5
W15032,2233,54,1219,711654,2023-06-15,3
W15032,2233,54,200,100980,2023-06-14,1
W15035,383,49,18,13405,2022-08-22,4
W15035,383,49,906,631835,2022-08-30,3
W15035,383,49,3,2118,2022-07-18,1
W15035,383,49,21,5876,2022-08-21,5
W15083,198,47,340,394734,2023-06-16,4
W15083,198,47,11,11543,2023-05-19,3
W15116,376,54,52,44268,2023-02-07,4
W15116,376,54,637,716200,2023-02-18,3
W15116,376,54,123,37999,2023-02-15,5
W15146,1526,52,403,196940,2023-06-30,1
W15146,1526,52,43,31396,2023-06-17,4
W15146,1526,52,965,302466,2023-06-30,5
W15146,1526,52,556,430499,2023-06-30,3
W15185,1358,50,108,91316,2023-01-21,4
W15185,1358,50,644,245261,2023-02-02,5
W15185,1358,50,1046,548503,2023-02-02,3
W15185,1358,50,99,39929,2023-02-02,1
W15226,1201,50,20,25846,2023-05-20,4
W15226,1201,50,706,770313,2023-06-24,1
W15226,1201,50,472,352359,2023-06-02,3
W15226,1201,50,55,23267,2023-05-20,5
W15226,1201,50,364,590737,2023-06-30,2
W15237,2807,48,12,6096,2022-10-11,4
W15237,2807,48,691,469104,2023-06-30,3
W15237,2807,48,671,293826,2023-06-30,5
W15237,2807,48,43,12116,2023-06-27,1
W15275,618,47,26,28456,2023-01-06,4
W15275,618,47,351,211584,2023-05-05,3
W15275,618,47,37,16069,2023-03-26,1
W15275,618,47,754,337329,2023-05-05,5
W15336,1276,50,58,23243,2022-12-09,4
W15336,1276,50,1574,537498,2023-01-24,5
W15336,1276,50,783,324145,2023-01-22,3
W15336,1276,50,316,99626,2023-01-24,1
W15364,846,51,191,54686,2022-09-25,5
W15364,846,51,6,4012,2022-09-17,4
W15364,846,51,1215,559784,2022-09-25,3
W15364,846,51,9,1260,2022-09-24,1
W15381,598,49,28,25672,2023-05-29,4
W15381,598,49,627,328699,2023-06-30,1
W15381,598,49,14,10247,2023-06-18,3
W15433,527,47,910,477339,2023-05-27,3
W15433,527,47,12,13400,2022-09-18,4
W15433,527,47,5,1475,2022-07-24,5
W15452,1093,50,9,9141,2022-11-05,4
W15452,1093,50,1571,426264,2023-06-22,5
W15452,1093,50,811,409045,2023-01-14,3
W15452,1093,50,4,993,2022-10-27,1
W15470,1783,59,5,4751,2022-08-08,4
W15470,1783,59,2097,1107007,2023-06-19,3
W15470,1783,59,2181,653873,2023-06-19,5
W15470,1783,59,402,241851,2023-06-19,1
W15473,662,47,18,24636,2022-09-07,4
W15473,662,47,975,524784,2022-09-08,3
W15473,662,47,31,11094,2022-09-08,5
W15473,662,47,1,773,2022-08-20,1
W15497,754,53,90,110807,2022-11-03,4
W15497,754,53,1357,880984,2023-01-01,3
W15497,754,53,3,1091,2022-12-13,5
W15550,1022,50,6,6177,2022-12-03,4
W15550,1022,50,668,387823,2023-06-10,3
